location_name,peak_bed_day_mean,peak_bed_day_lower,peak_bed_day_upper,peak_icu_bed_day_mean,peak_icu_bed_day_lower,peak_icu_bed_day_upper,peak_vent_day_mean,peak_vent_day_lower,peak_vent_day_upper,all_bed_capacity,icu_bed_capacity,all_bed_usage,icu_bed_usage,available_all_nbr,available_icu_nbr,travel_limit_start_date,travel_limit_end_date,stay_home_start_date,stay_home_end_date,SAH_start_before_3/28,SAH_length,educational_fac_start_date,educational_fac_end_date,edu_fac_before_3/17,any_gathering_restrict_start_date,any_gathering_restrict_end_date,gather_restrict_before_3/20,any_business_start_date,any_business_end_date,any_business_before_3/18,all_non-ess_business_start_date,all_non-ess_business_end_date,length_nonessbusiness,dem_gov,unemployment_pct_jan,trump_vote_pct,population,trump_vote_over_50,Name,Postal Code,FIPS
Pennsylvania,5/3/20,5/2/20,5/26/20,5/4/20,5/4/20,5/29/20,5/4/20,5/3/20,5/28/20,42658,3250,28263,2206,14395,1044,,,4/1/20,6/26/20,0,86,3/17/20,,0,4/1/20,,0,3/18/20,,0,3/23/20,5/8/20,46,1,4.7,48,12801989,0,Pennsylvania,PA,42
Maine,4/21/20,4/17/20,4/21/20,4/21/20,4/19/20,4/22/20,4/21/20,4/19/20,4/21/20,3814,244,2752,180,1062,64,,,4/2/20,5/31/20,0,59,3/16/20,,1,3/18/20,,1,3/18/20,,0,3/25/20,5/1/20,37,1,3.1,45,1344212,0,Maine,ME,23
Tennessee,4/5/20,4/4/20,5/31/20,4/6/20,4/5/20,6/1/20,4/5/20,4/5/20,5/31/20,21784,1834,13972,1205,7812,629,,,4/2/20,4/30/20,0,28,3/20/20,,0,3/23/20,,0,3/23/20,,0,4/1/20,6/26/20,86,0,3.3,61,6829174,1,Tennessee,TN,47
Texas,5/14/20,5/10/20,6/18/20,5/14/20,5/11/20,6/16/20,5/14/20,5/11/20,6/15/20,77428,6378,48794,4118,28634,2260,,,4/2/20,5/1/20,0,29,3/19/20,,0,3/21/20,,0,3/21/20,,0,,,0,0,3.5,52,28995881,1,Texas,TX,48
Florida,5/4/20,5/3/20,6/6/20,5/4/20,5/4/20,6/5/20,5/4/20,5/4/20,6/4/20,60546,5351,40362,3655,20184,1696,,,4/3/20,5/4/20,0,31,3/17/20,,0,4/3/20,,0,3/17/20,,1,,,0,0,2.8,49,21477737,0,Florida,FL,12
Georgia,4/17/20,4/16/20,5/26/20,4/26/20,4/16/20,5/29/20,4/26/20,4/16/20,5/28/20,28928,2182,20605,1592,8323,590,,,4/3/20,4/30/20,0,27,3/18/20,,0,3/24/20,,0,3/24/20,,0,,,0,0,3.1,50,10617423,0,Georgia,GA,13
Mississippi,5/4/20,5/3/20,5/25/20,5/4/20,5/4/20,5/27/20,5/4/20,5/4/20,5/25/20,14005,862,8272,521,5733,341,,,4/3/20,4/27/20,0,24,3/19/20,,0,3/24/20,,0,3/24/20,,0,4/3/20,4/27/20,24,0,5.5,58,2976149,1,Mississippi,MS,28
Alabama,5/8/20,5/6/20,6/2/20,5/5/20,5/5/20,6/3/20,5/5/20,5/5/20,6/2/20,17537,1525,11793,1050,5744,475,,,4/4/20,4/30/20,0,26,3/19/20,,0,3/19/20,,1,3/19/20,,0,3/28/20,4/30/20,33,0,2.7,62,4903185,1,Alabama,AL,1
Missouri,5/6/20,5/5/20,5/27/20,5/5/20,5/5/20,5/28/20,5/5/20,5/5/20,5/28/20,21575,1586,13642,1027,7933,559,,,4/6/20,5/15/20,0,39,3/23/20,,0,3/23/20,,0,3/23/20,,0,,,0,0,3.5,56,6137428,1,Missouri,MO,29
South Carolina,4/28/20,4/27/20,4/28/20,4/28/20,4/28/20,4/28/20,4/28/20,4/28/20,4/28/20,13707,1244,9027,839,4680,405,,,4/7/20,5/4/20,0,27,3/16/20,,1,3/18/20,,1,3/18/20,,0,,,0,0,2.4,55,5148714,1,South Carolina,SC,45
Arkansas,4/30/20,4/29/20,5/29/20,5/1/20,4/30/20,6/1/20,4/30/20,4/30/20,5/31/20,11243,914,6237,519,5006,395,,,,,0,0,3/17/20,,0,3/27/20,,0,3/19/20,,0,,,0,0,3.5,61,3017804,1,Arkansas,AR,5
Connecticut,4/20/20,4/20/20,4/21/20,4/20/20,4/20/20,4/21/20,4/20/20,4/20/20,4/21/20,8501,537,6762,437,1739,100,,,,5/20/20,0,0,3/17/20,,0,3/12/20,,1,3/16/20,,1,3/23/20,5/20/20,58,1,3.7,41,3565287,0,Connecticut,CT,9
Iowa,6/3/20,5/10/20,6/9/20,6/5/20,5/11/20,6/10/20,6/4/20,5/11/20,6/9/20,9866,584,5569,337,4297,247,,,,,0,0,4/4/20,,0,3/17/20,,1,3/17/20,,1,3/17/20,5/8/20,52,0,2.8,51,3155070,1,Iowa,IA,19
Kentucky,4/19/20,4/18/20,5/28/20,4/19/20,4/18/20,5/29/20,4/19/20,4/18/20,5/29/20,16156,1215,9946,766,6210,449,,,,5/25/20,0,0,3/20/20,,0,3/19/20,,1,3/16/20,,1,3/26/20,5/11/20,46,1,4.3,63,4467673,1,Kentucky,KY,21
Nebraska,6/2/20,5/12/20,6/11/20,6/3/20,5/11/20,6/12/20,6/3/20,5/11/20,6/12/20,7413,569,4283,336,3130,233,,,,,0,0,4/2/20,,0,3/16/20,,1,3/19/20,,0,,,0,0,2.9,59,1934408,1,Nebraska,NE,31
North Dakota,6/3/20,5/3/20,6/12/20,6/4/20,5/4/20,6/13/20,6/4/20,5/4/20,6/13/20,3779,219,2234,132,1545,87,,,,,0,0,3/16/20,,1,,,1,3/20/20,,0,,,0,0,2.3,63,762062,1,North Dakota,ND,38
Oklahoma,4/20/20,4/19/20,4/21/20,4/20/20,4/20/20,4/20/20,4/20/20,4/20/20,4/20/20,13153,1166,7695,699,5458,467,,,,,0,0,3/17/20,,0,3/24/20,,0,4/1/20,,0,4/1/20,4/24/20,23,0,3.3,65,3956971,1,Oklahoma,OK,40
South Dakota,5/6/20,5/1/20,6/6/20,5/6/20,5/6/20,6/6/20,5/6/20,5/6/20,6/7/20,4733,202,2927,128,1806,74,,,,,0,0,3/16/20,,1,4/6/20,4/28/20,0,,,1,,,0,0,3.4,62,884659,1,South Dakota,SD,46
Utah,5/5/20,5/4/20,6/13/20,5/5/20,5/3/20,6/14/20,5/5/20,5/3/20,6/14/20,6726,428,3955,257,2771,171,,,,,0,0,3/16/20,,1,3/19/20,,1,3/19/20,,0,,,0,0,2.5,45,3205958,0,Utah,UT,49
